Datetime,Open,High,Low,Close,Volume
2025-11-24 09:00:00+00:00,272.5,272.5,272.19,272.19,1357
2025-11-24 09:01:00+00:00,272.26,272.26,272.26,272.26,573
2025-11-24 09:02:00+00:00,272.28,272.48,272.28,272.48,1371
2025-11-24 09:06:00+00:00,272.19,272.4,272.19,272.4,1999
2025-11-24 09:07:00+00:00,272.36,272.36,272.36,272.36,249
2025-11-24 09:08:00+00:00,272.23,272.23,272.22,272.22,463
2025-11-24 09:09:00+00:00,272.21,272.21,272.2,272.2,442
2025-11-24 09:14:00+00:00,272.09,272.09,271.97,271.97,2299
2025-11-24 09:15:00+00:00,272.04,272.04,272.04,272.04,612
2025-11-24 09:16:00+00:00,271.84,271.84,271.54,271.54,2139
2025-11-24 09:17:00+00:00,271.68,271.88,271.68,271.88,742
2025-11-24 09:18:00+00:00,271.68,271.68,271.56,271.56,1045
2025-11-24 09:19:00+00:00,271.85,271.85,271.85,271.85,156
2025-11-24 09:20:00+00:00,271.9,271.9,271.9,271.9,313
2025-11-24 09:21:00+00:00,271.75,271.75,271.75,271.75,250
2025-11-24 09:22:00+00:00,271.73,271.73,271.52,271.52,3373
2025-11-24 09:23:00+00:00,271.4,271.4,271.35,271.35,725
2025-11-24 09:24:00+00:00,271.2,271.39,271.2,271.34,1566
2025-11-24 09:25:00+00:00,271.32,271.32,271.03,271.03,2163
2025-11-24 09:26:00+00:00,271.0,271.0,270.45,270.45,1774
2025-11-24 09:29:00+00:00,270.68,270.68,270.68,270.68,332
2025-11-24 09:30:00+00:00,270.9,270.9,270.9,270.9,328
2025-11-24 09:31:00+00:00,270.86,270.89,270.86,270.88,678
2025-11-24 09:32:00+00:00,270.88,270.88,270.88,270.88,228
2025-11-24 09:40:00+00:00,271.02,271.02,271.02,271.02,271
2025-11-24 09:41:00+00:00,270.88,270.88,270.88,270.88,297
2025-11-24 10:01:00+00:00,270.81,270.81,270.81,270.81,366
2025-11-24 10:11:00+00:00,270.93,270.99,270.93,270.99,511
2025-11-24 10:23:00+00:00,270.8,270.8,270.8,270.8,195
2025-11-24 10:28:00+00:00,270.7,270.7,270.69,270.69,382
2025-11-24 10:29:00+00:00,270.7,270.7,270.7,270.7,778
2025-11-24 10:31:00+00:00,270.81,271.0,270.81,271.0,1376
2025-11-24 10:33:00+00:00,271.0,271.0,270.99,270.99,776
2025-11-24 11:12:00+00:00,270.55,270.6,270.5,270.5,2027
2025-11-24 11:16:00+00:00,270.59,270.59,270.59,270.59,381
2025-11-24 11:20:00+00:00,270.7,270.81,270.7,270.81,563
2025-11-24 11:22:00+00:00,270.78,270.78,270.78,270.78,604
2025-11-24 11:26:00+00:00,270.65,270.65,270.65,270.65,636
2025-11-24 11:30:00+00:00,270.75,270.75,270.75,270.75,211
2025-11-24 11:35:00+00:00,270.65,270.65,270.65,270.65,639
2025-11-24 11:42:00+00:00,270.79,270.79,270.79,270.79,416
2025-11-24 11:43:00+00:00,270.89,270.9,270.89,270.9,765
2025-11-24 11:44:00+00:00,271.13,271.13,271.13,271.13,468
2025-11-24 11:47:00+00:00,271.05,271.05,271.05,271.05,449
2025-11-24 11:49:00+00:00,271.14,271.14,271.14,271.14,569
2025-11-24 11:50:00+00:00,271.17,271.17,271.17,271.17,605
2025-11-24 11:52:00+00:00,271.47,271.47,271.47,271.47,385
2025-11-24 11:53:00+00:00,271.45,271.45,271.45,271.45,319
2025-11-24 12:00:00+00:00,271.31,271.39,271.31,271.36,2389
2025-11-24 12:02:00+00:00,271.25,271.25,271.25,271.25,283
2025-11-24 12:03:00+00:00,271.25,271.25,271.2,271.23,1491
2025-11-24 12:04:00+00:00,271.18,271.18,271.18,271.18,741
2025-11-24 12:06:00+00:00,271.3,271.3,271.29,271.29,524
2025-11-24 12:12:00+00:00,271.19,271.19,271.19,271.19,225
2025-11-24 12:13:00+00:00,271.17,271.2,271.17,271.2,332
2025-11-24 12:17:00+00:00,271.27,271.27,271.27,271.27,191
2025-11-24 12:18:00+00:00,271.26,271.26,271.26,271.26,113
2025-11-24 12:19:00+00:00,271.21,271.21,271.17,271.2,602
2025-11-24 12:20:00+00:00,271.2,271.24,271.2,271.24,343
2025-11-24 12:22:00+00:00,271.27,271.27,271.23,271.23,1126
2025-11-24 12:25:00+00:00,271.35,271.5,271.35,271.5,5788
2025-11-24 12:29:00+00:00,271.86,271.86,271.86,271.86,290
2025-11-24 12:31:00+00:00,271.74,271.74,271.74,271.74,182
2025-11-24 12:32:00+00:00,271.71,271.71,271.71,271.71,297
2025-11-24 12:33:00+00:00,271.68,271.68,271.67,271.67,482
2025-11-24 12:35:00+00:00,271.67,271.67,271.67,271.67,325
2025-11-24 12:36:00+00:00,271.65,271.65,271.65,271.65,234
2025-11-24 12:39:00+00:00,271.67,271.68,271.55,271.58,2006
2025-11-24 12:40:00+00:00,271.63,271.65,271.63,271.65,573
2025-11-24 12:42:00+00:00,271.63,271.63,271.55,271.55,509
2025-11-24 12:43:00+00:00,271.5,271.54,271.45,271.54,2365
2025-11-24 12:45:00+00:00,271.73,271.74,271.73,271.74,1082
2025-11-24 12:48:00+00:00,271.78,271.78,271.78,271.78,1038
2025-11-24 12:49:00+00:00,271.82,271.82,271.82,271.82,587
2025-11-24 12:50:00+00:00,271.78,271.78,271.72,271.72,468
2025-11-24 12:51:00+00:00,271.76,271.76,271.76,271.76,303
2025-11-24 12:53:00+00:00,271.7,271.7,271.7,271.7,249
2025-11-24 12:54:00+00:00,271.7,271.8,271.7,271.8,1050
2025-11-24 12:55:00+00:00,271.88,271.93,271.88,271.92,1636
2025-11-24 12:56:00+00:00,271.98,272.19,271.94,271.94,2828
2025-11-24 12:57:00+00:00,272.13,272.14,272.13,272.14,255
2025-11-24 12:59:00+00:00,272.11,272.11,272.09,272.09,922
2025-11-24 13:00:00+00:00,270.75,272.9,270.5,272.7,1099028
2025-11-24 13:01:00+00:00,272.5,272.5,272.0,272.0,1124
2025-11-24 13:02:00+00:00,271.1703,272.0157,271.1703,272.0157,4849
2025-11-24 13:03:00+00:00,272.0,272.04,271.9,271.9,4428
2025-11-24 13:04:00+00:00,271.89,271.99,271.89,271.91,1229
2025-11-24 13:05:00+00:00,271.98,272.01,271.98,272.01,1926
2025-11-24 13:06:00+00:00,272.0,272.0,272.0,272.0,668
2025-11-24 13:08:00+00:00,272.1,272.2,272.09,272.1837,1434
2025-11-24 13:09:00+00:00,272.2,272.2999,272.19,272.2,2260
2025-11-24 13:10:00+00:00,272.2,272.39,272.2,272.25,2496
2025-11-24 13:11:00+00:00,272.45,272.45,272.35,272.35,1011
2025-11-24 13:13:00+00:00,272.338,272.338,272.33,272.33,1683
2025-11-24 13:15:00+00:00,272.35,272.35,272.35,272.35,404
2025-11-24 13:16:00+00:00,272.3,272.3516,272.29,272.3516,1062
2025-11-24 13:17:00+00:00,272.3,272.3337,272.3,272.3337,762
2025-11-24 13:18:00+00:00,272.4,272.4,272.4,272.4,310
2025-11-24 13:19:00+00:00,272.3,272.3,272.3,272.3,658
2025-11-24 13:20:00+00:00,272.3,272.3,272.3,272.3,703
2025-11-24 13:22:00+00:00,272.15,272.26,272.15,272.26,365
2025-11-24 13:23:00+00:00,272.24,272.24,272.21,272.21,374
2025-11-24 13:24:00+00:00,272.22,272.26,272.22,272.26,688
2025-11-24 13:25:00+00:00,272.33,272.42,272.33,272.37,2919
2025-11-24 13:26:00+00:00,272.43,272.5,272.43,272.5,2513
2025-11-24 13:27:00+00:00,272.59,272.59,272.49,272.49,2738
2025-11-24 13:28:00+00:00,272.53,272.53,272.5,272.51,956
2025-11-24 13:29:00+00:00,272.54,272.55,272.54,272.55,538
2025-11-24 13:30:00+00:00,272.5,272.56,272.5,272.56,685
2025-11-24 13:31:00+00:00,272.59,272.67,272.59,272.59,2959
2025-11-24 13:32:00+00:00,272.55,272.55,272.53,272.53,730
2025-11-24 13:33:00+00:00,272.5,272.7,272.3274,272.3274,913
2025-11-24 13:34:00+00:00,272.2608,272.2608,272.2608,272.2608,295
2025-11-24 13:35:00+00:00,272.4001,272.4001,272.4,272.4,688
2025-11-24 13:36:00+00:00,272.45,272.6267,272.38,272.6267,1352
2025-11-24 13:37:00+00:00,272.6219,272.6219,272.6219,272.6219,473
2025-11-24 13:38:00+00:00,272.48,272.48,272.44,272.44,1069
2025-11-24 13:39:00+00:00,272.4,272.5,272.4,272.5,735
2025-11-24 13:40:00+00:00,272.46,272.58,272.46,272.46,613
2025-11-24 13:41:00+00:00,272.3504,272.3504,272.3504,272.3504,287
2025-11-24 13:43:00+00:00,272.35,272.3981,272.35,272.3981,678
2025-11-24 13:44:00+00:00,272.31,272.35,272.29,272.35,2623
2025-11-24 13:45:00+00:00,272.4,272.4,272.4,272.4,1416
2025-11-24 13:46:00+00:00,272.33,272.33,272.23,272.23,3533
2025-11-24 13:47:00+00:00,272.16,272.16,272.16,272.16,1053
2025-11-24 13:48:00+00:00,272.01,272.0183,271.92,272.0,4982
2025-11-24 13:49:00+00:00,272.0,272.0,271.7664,271.7664,1228
2025-11-24 13:50:00+00:00,271.9,271.9,271.8125,271.8125,852
2025-11-24 13:51:00+00:00,271.9554,272.0,271.9554,271.99,650
2025-11-24 13:52:00+00:00,271.7733,271.91,271.7733,271.91,1689
2025-11-24 13:53:00+00:00,271.91,271.95,271.85,271.85,826
2025-11-24 13:54:00+00:00,271.88,271.89,271.88,271.89,889
2025-11-24 13:55:00+00:00,271.77,271.91,271.77,271.86,1070
2025-11-24 13:56:00+00:00,271.92,271.95,271.9,271.9,641
2025-11-24 13:57:00+00:00,271.87,271.87,271.87,271.87,939
2025-11-24 13:58:00+00:00,271.93,271.98,271.93,271.98,954
2025-11-24 13:59:00+00:00,272.0,272.0,271.92,271.92,603
2025-11-24 14:00:00+00:00,271.99,272.0,271.9,271.95,786
2025-11-24 14:02:00+00:00,272.02,272.04,271.77,271.91,12512
2025-11-24 14:04:00+00:00,272.1538,272.1538,272.1538,272.1538,579
2025-11-24 14:05:00+00:00,272.1501,272.19,272.1,272.14,2645
